開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］
餐	餐	chhan	chhan
孱	孱	chhan	chhan
羼	羼	chhán	chhan2
綻	绽	chhàn	chhan3
粲	粲	chhàn	chhan3
璨	璨	chhàn	chhan3
櫬	榇	chhàn	chhan3
殘	残	chhàn	chhan3
燦	灿	chhàn	chhan3
田	田	chhân	chhan5
孱	孱	chhân	chhan5
襯	衬	chhân	chhan5
蜻	蜻	chhân	chhan5
聰	聪	chhang	chhang
臿	臿	chhap	chhap
鍤	锸	chhap	chhap
歃	歃	chhap	chhap
扱	扱	chhap	chhap
插	插	chhap	chhap
喢	喢	chhap	chhap
偛	偛	chhap	chhap
囃	囃	chhap	chhap
漆	漆	chha̍t	chhat8
擦	擦	chha̍t	chhat8
察	察	chha̍t	chhat8
賊	贼	chha̍t	chhat8
攃	攃	chha̍t	chhat8
礤	礤	chha̍t	chhat8
抄	抄	chhau	chhau
耖	耖	chhau	chhau
操	操	chhau	chhau
勦	勦	chhau	chhau
謅	诌	chhau	chhau
訬	訬	chhau	chhau
鈔	钞	chhau	chhau
樔	樔	chhau	chhau
楚	楚	chháu	chhau2
炒	炒	chháu	chhau2
謅	诌	chháu	chhau2
口	口	chháu	chhau2
稍	稍	chháu	chhau2
吵	吵	chháu	chhau2
草	草	chháu	chhau2
頭	头	chháu	chhau2
鈔	钞	chhàu	chhau3
湊	凑	chhàu	chhau3
臭	臭	chhàu	chhau3
沓	沓	chha̍uh	chhauh8
淒	凄	chhe	chhe
叉	叉	chhe	chhe
霋	霋	chhe	chhe
吹	吹	chhe	chhe
差	差	chhe	chhe
萋	萋	chhe	chhe
妻	妻	chhe	chhe
悽	悽	chhe	chhe
棲	栖	chhe	chhe
汊	汊	chhe	chhe
炊	炊	chhe	chhe
緀	緀	chhe	chhe
郪	郪	chhe	chhe
凄	凄	chhe	chhe
栖	栖	chhe	chhe
玼	玼	chhé	chhe2
扯	扯	chhé	chhe2
抯	抯	chhé	chhe2
撦	撦	chhé	chhe2
泚	泚	chhé	chhe2
髓	髓	chhé	chhe2
砌	砌	chhè	chhe3
悽	悽	chhè	chhe3
切	切	chhè	chhe3
妻	妻	chhè	chhe3
廁	厕	chhè	chhe3
脆	脆	chhè	chhe3
淋	淋	chhè	chhe3
箠	箠	chhê	chhe5
坐	坐	chhē	chhe7
尋	寻	chhē	chhe7
啜	啜	chheh	chheh
撮	撮	chheh	chheh
冊	册	chheh	chheh
彳	彳	chhek	chhek
測	测	chhek	chhek
粟	粟	chhek	chhek
鏚	鏚	chhek	chhek
戚	戚	chhek	chhek
蚇	蚇	chhek	chhek
拆	拆	chhek	chhek
柒	柒	chhek	chhek
膝	膝	chhek	chhek
刺	刺	chhek	chhek
側	侧	chhek	chhek
顣	顣	chhek	chhek
策	策	chhek	chhek
茦	茦	chhek	chhek
莿	莿	chhek	chhek
惻	恻	chhek	chhek
雀	雀	chhek	chhek
冊	册	chhek	chhek
漆	漆	chhek	chhek
慼	慼	chhek	chhek
柵	栅	chhek	chhek
蹙	蹙	chhek	chhek
斮	斮	chhek	chhek
坼	坼	chhek	chhek
尺	尺	chhek	chhek
觸	触	chhek	chhek
赤	赤	chhek	chhek
拺	拺	chhek	chhek
促	促	chhek	chhek
筴	䇲	chhek	chhek
桼	桼	chhek	chhek
畟	畟	chhek	chhek
鶒	鶒	chhek	chhek
簎	簎	chhe̍k	chhek8
摶	抟	chhe̍k	chhek8
赬	赪	chheng	chheng
靘	靘	chheng	chheng
綪	綪	chheng	chheng
傖	伧	chheng	chheng
檉	柽	chheng	chheng
鯖	鲭	chheng	chheng
清	清	chheng	chheng
鶄	䴖	chheng	chheng
棦	棦	chheng	chheng
親	亲	chheng	chheng
圊	圊	chheng	chheng
千	千	chheng	chheng
菁	菁	chheng	chheng
蟶	蛏	chheng	chheng
稱	称	chheng	chheng
青	青	chheng	chheng
掙	挣	chheng	chheng
蜻	蜻	chheng	chheng
筅	筅	chhéng	chheng2
請	请	chhéng	chheng2
逞	逞	chhéng	chheng2
擤	擤	chhèng	chheng3
銃	铳	chhèng	chheng3
渹	渹	chhèng	chheng3
婧	婧	chhèng	chheng3
倩	倩	chhèng	chheng3
靘	靘	chhèng	chheng3
掅	掅	chhèng	chheng3
稱	称	chhèng	chheng3
秤	秤	chhèng	chheng3
凊	凊	chhèng	chheng3
榕	榕	chhêng	chheng5
趟	趟	chhêng	chheng5
倀	伥	chhêng	chheng5
棖	枨	chhêng	chheng5
蚕	蚕	chhêng	chheng5
松	松	chhêng	chheng5
蠶	蚕	chhêng	chheng5
橕	橕	chhêng	chheng5
穿	穿	chhēng	chheng7
蹉	蹉	chhi	chhi
鴟	鸱	chhi	chhi
眵	眵	chhi	chhi
痴	痴	chhi	chhi
颺	飏	chhi	chhi
鰓	鳃	chhi	chhi
嗤	嗤	chhi	chhi
癡	癡	chhi	chhi
鑐	鑐	chhi	chhi
蚩	蚩	chhi	chhi
齝	齝	chhi	chhi
啻	啻	chhi	chhi
胵	胵	chhi	chhi
嵯	嵯	chhi	chhi
瓻	瓻	chhi	chhi
媸	媸	chhi	chhi
腮	腮	chhi	chhi
差	差	chhi	chhi
偨	偨	chhi	chhi
姼	姼	chhí	chhi2
誃	誃	chhí	chhi2
奓	奓	chhí	chhi2
尸	尸	chhí	chhi2
阤	阤	chhí	chhi2
恀	恀	chhí	chhi2
侈	侈	chhí	chhi2
欼	欼	chhí	chhi2
齒	齿	chhí	chhi2
哆	哆	chhí	chhi2
蛓	蛓	chhì	chhi3
翨	翨	chhì	chhi3
刺	刺	chhì	chhi3
蚝	蚝	chhì	chhi3
茦	茦	chhì	chhi3
熾	炽	chhì	chhi3
幟	帜	chhì	chhi3
莿	莿	chhì	chhi3
朿	朿	chhì	chhi3
忮	忮	chhì	chhi3
試	试	chhì	chhi3
饎	饎	chhì	chhi3
翅	翅	chhì	chhi3
織	织	chhì	chhi3
徐	徐	chhî	chhi5
持	持	chhî	chhi5
市	市	chhī	chhi7
飼	饲	chhī	chhi7
奢	奢	chhia	chhia
推	推	chhia	chhia
吒	咤	chhia	chhia
硨	砗	chhia	chhia
車	车	chhia	chhia
譇	譇	chhia	chhia
哆	哆	chhiá	chhia2
撦	撦	chhiá	chhia2
扯	扯	chhiá	chhia2
斜	斜	chhià	chhia3
斜	斜	chhiâ	chhia5
側	侧	chhiah	chhiah
赤	赤	chhiah	chhiah
刺	刺	chhiah	chhiah
裧	裧	chhiam	chhiam
僉	佥	chhiam	chhiam
籤	籤	chhiam	chhiam
參	参	chhiam	chhiam
簽	签	chhiam	chhiam
纖	纤	chhiam	chhiam
鐱	鐱	chhiam	chhiam
笘	笘	chhiam	chhiam
襜	襜	chhiam	chhiam
襳	襳	chhiam	chhiam
憸	憸	chhiam	chhiam
殲	歼	chhiam	chhiam
尖	尖	chhiam	chhiam
幨	幨	chhiam	chhiam
襝	裣	chhiam	chhiam
詀	詀	chhiam	chhiam
鐕	鐕	chhiám	chhiam2
蒨	蒨	chhiàm	chhiam3
僣	僣	chhiàm	chhiam3
僭	僭	chhiàm	chhiam3
潛	潜	chhiâm	chhiam5
鑱	镵	chhiâm	chhiam5
遷	迁	chhian	chhian
躚	跹	chhian	chhian
阡	阡	chhian	chhian
芊	芊	chhian	chhian
韆	千	chhian	chhian
千	千	chhian	chhian
燀	燀	chhian	chhian
櫏	櫏	chhian	chhian
褼	褼	chhian	chhian
仟	仟	chhian	chhian
扦	扦	chhian	chhian
淺	浅	chhián	chhian2
殫	殚	chhián	chhian2
闡	阐	chhián	chhian2
譂	譂	chhián	chhian2
繟	繟	chhián	chhian2
諓	諓	chhián	chhian2
錢	钱	chhián	chhian2
幝	幝	chhián	chhian2
輤	輤	chhiàn	chhian3
茜	茜	chhiàn	chhian3
芊	芊	chhiàn	chhian3
倩	倩	chhiàn	chhian3
蒨	蒨	chhiàn	chhian3
栫	栫	chhiàn	chhian3
延	延	chhiân	chhian5
田	田	chhiân	chhian5
鎗	鎗	chhiang	chhiang
冗	冗	chhiáng	chhiang2
唱	唱	chhiàng	chhiang3
腸	肠	chhiâng	chhiang5
償	偿	chhiâng	chhiang5
橙	橙	chhiâng	chhiang5
常	常	chhiâng	chhiang5
清	清	chhiaⁿ	chhiann
請	请	chhiáⁿ	chhiann2
抯	抯	chhiáⁿ	chhiann2
且	且	chhiáⁿ	chhiann2
搶	抢	chhiáⁿ	chhiann2
倩	倩	chhiàⁿ	chhiann3
成	成	chhiâⁿ	chhiann5
竊	窃	chhiap	chhiap
翣	翣	chhiap	chhiap
踥	踥	chhiap	chhiap
眨	眨	chhiap	chhiap
啑	啑	chhiap	chhiap
妾	妾	chhiap	chhiap
唼	唼	chhiap	chhiap
椄	椄	chhiap	chhiap
切	切	chhiat	chhiat
跕	跕	chhiat	chhiat
沏	沏	chhiat	chhiat
超	超	chhiau	chhiau
幧	幧	chhiau	chhiau
怊	怊	chhiau	chhiau
摶	抟	chhiau	chhiau
搜	搜	chhiau	chhiau
鍬	锹	chhiau	chhiau
悄	悄	chhiáu	chhiau2
眧	眧	chhiáu	chhiau2
稍	稍	chhiáu	chhiau2
愀	愀	chhiáu	chhiau2
偢	偢	chhiàu	chhiau3
笑	笑	chhiàu	chhiau3
鍬	锹	chhiâu	chhiau5
閃	闪	chhih	chhih
蠽	蠽	chhi̍h	chhih8
扼	扼	chhi̍h	chhih8
侵	侵	chhim	chhim
唚	吣	chhim	chhim
駸	骎	chhim	chhim
祲	祲	chhim	chhim
深	深	chhim	chhim
綅	綅	chhim	chhim
寢	寝	chhim	chhim
侵	侵	chhím	chhim2
梫	梫	chhím	chhim2
贂	贂	chhím	chhim2
鋟	锓	chhím	chhim2
寢	寝	chhím	chhim2
尋	寻	chhím	chhim2
踸	踸	chhím	chhim2
譖	谮	chhìm	chhim3
鑱	镵	chhîm	chhim5
潛	潜	chhîm	chhim5
人	人	chhin	chhin
儭	儭	chhin	chhin
親	亲	chhin	chhin
新	新	chhin	chhin
齔	龀	chhín	chhin2
且	且	chhìn	chhin3
櫬	榇	chhìn	chhin3
儭	儭	chhìn	chhin3
秤	秤	chhìn	chhin3
凊	凊	chhìn	chhin3
嚫	嚫	chhìn	chhin3
襯	衬	chhìn	chhin3
菁	菁	chhiⁿ	chhinn
親	亲	chhiⁿ	chhinn
腥	腥	chhiⁿ	chhinn
蘚	藓	chhiⁿ	chhinn
生	生	chhiⁿ	chhinn
睛	睛	chhiⁿ	chhinn
悽	悽	chhiⁿ	chhinn
鮮	鲜	chhiⁿ	chhinn
星	星	chhiⁿ	chhinn
清	清	chhiⁿ	chhinn
青	青	chhiⁿ	chhinn
醒	醒	chhíⁿ	chhinn2
淺	浅	chhíⁿ	chhinn2
哨	哨	chhio	chhio
笑	笑	chhiò	chhio3
蟯	蛲	chhiô	chhio5
照	照	chhiō	chhio7
臅	臅	chhioh	chhioh
螫	螫	chhioh	chhioh
跡	迹	chhioh	chhioh
尺	尺	chhioh	chhioh
蹟	蹟	chhioh	chhioh
蓆	蓆	chhio̍h	chhioh8
齱	齱	chhiok	chhiok
雀	雀	chhiok	chhiok
哫	哫	chhiok	chhiok
蜡	蜡	chhiok	chhiok
斶	斶	chhiok	chhiok
浞	浞	chhiok	chhiok
齪	龊	chhiok	chhiok
淖	淖	chhiok	chhiok
碏	碏	chhiok	chhiok
噈	噈	chhiok	chhiok
臅	臅	chhiok	chhiok
蹙	蹙	chhiok	chhiok
鵲	鹊	chhiok	chhiok
梀	梀	chhiok	chhiok
摵	摵	chhiok	chhiok
汋	汋	chhiok	chhiok
顣	顣	chhiok	chhiok
灂	灂	chhiok	chhiok
娖	娖	chhiok	chhiok
踔	踔	chhiok	chhiok
磭	磭	chhiok	chhiok
捉	捉	chhiok	chhiok
觕	觕	chhiok	chhiok
亍	亍	chhiok	chhiok
歜	歜	chhiok	chhiok
擉	擉	chhiok	chhiok
矗	矗	chhiok	chhiok
篧	篧	chhiok	chhiok
婼	婼	chhiok	chhiok
蹴	蹴	chhiok	chhiok
皵	皵	chhiok	chhiok
斫	斫	chhiok	chhiok
婥	婥	chhiok	chhiok
娕	娕	chhiok	chhiok
觸	触	chhiok	chhiok
槭	槭	chhiok	chhiok
焯	焯	chhiok	chhiok
促	促	chhiok	chhiok
數	数	chhiok	chhiok
傶	傶	chhiok	chhiok
棤	棤	chhiok	chhiok
穱	穱	chhiok	chhiok
斮	斮	chhiok	chhiok
俶	俶	chhiok	chhiok
踀	踀	chhiok	chhiok
綽	绰	chhiok	chhiok
摶	抟	chhio̍k	chhiok8
充	充	chhiong	chhiong
衝	冲	chhiong	chhiong
摐	摐	chhiong	chhiong
斨	斨	chhiong	chhiong
昌	昌	chhiong	chhiong
鏦	鏦	chhiong	chhiong
嗆	呛	chhiong	chhiong
鎗	鎗	chhiong	chhiong
忡	忡	chhiong	chhiong
蓯	苁	chhiong	chhiong
沖	冲	chhiong	chhiong
瑲	玱	chhiong	chhiong
菖	菖	chhiong	chhiong
憧	憧	chhiong	chhiong
瑽	瑽	chhiong	chhiong
傭	佣	chhiong	chhiong
閶	阊	chhiong	chhiong
鏘	锵	chhiong	chhiong
蹡	蹡	chhiong	chhiong
槍	枪	chhiong	chhiong
茺	茺	chhiong	chhiong
珫	珫	chhiong	chhiong
裮	裮	chhiong	chhiong
將	将	chhiong	chhiong
憃	憃	chhiong	chhiong
浺	浺	chhiong	chhiong
鯧	鲳	chhiong	chhiong
縱	纵	chhiong	chhiong
鶬	鸧	chhiong	chhiong
蹌	跄	chhiong	chhiong
從	从	chhiong	chhiong
牄	牄	chhiong	chhiong
倡	倡	chhiong	chhiong
樅	枞	chhiong	chhiong
猖	猖	chhiong	chhiong
愴	怆	chhiong	chhiong
搶	抢	chhióng	chhiong2
氅	氅	chhióng	chhiong2
聳	耸	chhióng	chhiong2
竦	竦	chhióng	chhiong2
悚	悚	chhióng	chhiong2
廠	厂	chhióng	chhiong2
慫	怂	chhióng	chhiong2
傸	傸	chhióng	chhiong2
敞	敞	chhióng	chhiong2
縱	纵	chhióng	chhiong2
磢	磢	chhióng	chhiong2
昶	昶	chhióng	chhiong2
瘲	疭	chhiòng	chhiong3
從	从	chhiòng	chhiong3
笑	笑	chhiòng	chhiong3
淌	淌	chhiòng	chhiong3
唱	唱	chhiòng	chhiong3
倡	倡	chhiòng	chhiong3
揰	揰	chhiòng	chhiong3
縱	纵	chhiòng	chhiong3
銃	铳	chhiòng	chhiong3
蘠	蘠	chhiông	chhiong5
嬙	嫱	chhiông	chhiong5
廧	廧	chhiông	chhiong5
牆	墙	chhiông	chhiong5
薔	蔷	chhiông	chhiong5
戕	戕	chhiông	chhiong5
墻	墙	chhiông	chhiong5
檣	樯	chhiông	chhiong5
趟	趟	chhiōng	chhiong7
匠	匠	chhiōng	chhiong7
輯	辑	chhip	chhip
蹐	蹐	chhip	chhip
戢	戢	chhip	chhip
偮	偮	chhip	chhip
緝	缉	chhip	chhip
諿	諿	chhip	chhip
霵	霵	chhip	chhip
楫	楫	chhip	chhip
濈	濈	chhip	chhip
揖	揖	chhip	chhip
咠	咠	chhip	chhip
葺	葺	chhip	chhip
蕺	蕺	chhip	chhip
桼	桼	chhip	chhip
湒	湒	chhip	chhip
七	七	chhit	chhit
拭	拭	chhit	chhit
嚙	啮	chhit	chhit
漆	漆	chhit	chhit
柒	柒	chhit	chhit
囓	囓	chhit	chhit
鶖	鹙	chhiu	chhiu
鞦	秋	chhiu	chhiu
鬚	须	chhiu	chhiu
湫	湫	chhiu	chhiu
搊	搊	chhiu	chhiu
瞅	瞅	chhiu	chhiu
僽	僽	chhiu	chhiu
鰍	鳅	chhiu	chhiu
煪	煪	chhiu	chhiu
抽	抽	chhiu	chhiu
秋	秋	chhiu	chhiu
楸	楸	chhiu	chhiu
啾	啾	chhiu	chhiu
愀	愀	chhiu	chhiu
萩	萩	chhiu	chhiu
緧	緧	chhiu	chhiu
手	手	chhiú	chhiu2
醜	丑	chhiú	chhiu2
首	首	chhiú	chhiu2
帚	帚	chhiú	chhiu2
簉	簉	chhiù	chhiu3
偢	偢	chhiù	chhiu3
皺	皱	chhiù	chhiu3
縐	绉	chhiù	chhiu3
甃	甃	chhiù	chhiu3
詶	詶	chhiû	chhiu5
揫	揫	chhiû	chhiu5
愀	愀	chhiû	chhiu5
愁	愁	chhiû	chhiu5
揪	揪	chhiû	chhiu5
楊	杨	chhiū	chhiu7
樹	树	chhiū	chhiu7
匠	匠	chhiuⁿ	chhiunn
象	象	chhiuⁿ	chhiunn
鯧	鲳	chhiuⁿ	chhiunn
鎗	鎗	chhiuⁿ	chhiunn
菖	菖	chhiuⁿ	chhiunn
廠	厂	chhiúⁿ	chhiunn2
取	取	chhiúⁿ	chhiunn2
揖	揖	chhiùⁿ	chhiunn3
唱	唱	chhiùⁿ	chhiunn3
牆	墙	chhiûⁿ	chhiunn5
颺	飏	chhiûⁿ	chhiunn5
蘠	蘠	chhiûⁿ	chhiunn5
墻	墙	chhiûⁿ	chhiunn5
像	像	chhiūⁿ	chhiunn7
橡	橡	chhiūⁿ	chhiunn7
象	象	chhiūⁿ	chhiunn7
畜	畜	chhiūⁿ	chhiunn7
栓	栓	chhng	chhng
穿	穿	chhng	chhng
倉	仓	chhng	chhng
村	村	chhng	chhng
瘡	疮	chhng	chhng
艙	舱	chhng	chhng
穿	穿	chhǹg	chhng3
串	串	chhǹg	chhng3
竄	窜	chhǹg	chhng3
蹉	蹉	chho	chho
嵯	嵯	chho	chho
搓	搓	chho	chho
瑳	瑳	chho	chho
臊	臊	chho	chho
銼	锉	chho	chho
瘥	瘥	chho	chho
髊	髊	chho	chho
澡	澡	chho	chho
磋	磋	chho	chho
操	操	chho	chho
鹺	鹾	chho	chho
瑣	琐	chhó	chho2
艸	艸	chhó	chho2
楚	楚	chhó	chho2
騲	騲	chhó	chho2
草	草	chhó	chho2
譟	譟	chhò	chho3
剉	剉	chhò	chho3
莝	莝	chhò	chho3
操	操	chhò	chho3
蓌	蓌	chhò	chho3
侳	侳	chhò	chho3
懆	懆	chhò	chho3
造	造	chhò	chho3
銼	锉	chhò	chho3
挫	挫	chhò	chho3
噪	噪	chhò	chho3
錯	错	chhò	chho3
鄵	鄵	chhò	chho3
慥	慥	chhò	chho3
脞	脞	chhò	chho3
夎	夎	chhò	chho3
糙	糙	chhò	chho3
膼	膼	chhoa	chhoa
撾	挝	chhoa	chhoa
髽	髽	chhoa	chhoa
檛	檛	chhoa	chhoa
聚	聚	chhóa	chhoa2
蔡	蔡	chhòa	chhoa3
導	导	chhōa	chhoa7
娶	娶	chhōa	chhoa7
擦	擦	chhoah	chhoah
竊	窃	chhoah	chhoah
斜	斜	chho̍ah	chhoah8
歂	歂	chhoan	chhoan
顓	颛	chhoan	chhoan
鐫	镌	chhoan	chhoan
竄	窜	chhoan	chhoan
牷	牷	chhoan	chhoan
雋	隽	chhoan	chhoan
鑴	鑴	chhoan	chhoan
痊	痊	chhoan	chhoan
鋑	鋑	chhoan	chhoan
栓	栓	chhoan	chhoan
輇	辁	chhoan	chhoan
釧	钏	chhoan	chhoan
銓	铨	chhoan	chhoan
荃	荃	chhoan	chhoan
拴	拴	chhoan	chhoan
煓	煓	chhoan	chhoan
湍	湍	chhoan	chhoan
佺	佺	chhoan	chhoan
穿	穿	chhoan	chhoan
詮	诠	chhoan	chhoan
川	川	chhoan	chhoan
玔	玔	chhoan	chhoan
村	村	chhoan	chhoan
悛	悛	chhoan	chhoan
筌	筌	chhoan	chhoan
跧	跧	chhoan	chhoan
喘	喘	chhóan	chhoan2
歂	歂	chhóan	chhoan2
奧	奥	chhòan	chhoan3
縓	縓	chhòan	chhoan3
篡	篡	chhòan	chhoan3
慣	惯	chhòan	chhoan3
攛	撺	chhòan	chhoan3
纂	纂	chhòan	chhoan3
釧	钏	chhòan	chhoan3
爨	爨	chhòan	chhoan3
舛	舛	chhòan	chhoan3
串	串	chhòan	chhoan3
拴	拴	chhôan	chhoan5
遄	遄	chhôan	chhoan5
闖	闯	chhoang	chhoang
閂	闩	chhoaⁿ	chhoann
癬	癣	chhóaⁿ	chhoann2
閂	闩	chhòaⁿ	chhoann3
鱔	鳝	chhōaⁿ	chhoann7
蕞	蕞	chhoat	chhoat
最	最	chhoat	chhoat
歠	歠	chhoat	chhoat
啜	啜	chhoat	chhoat
撮	撮	chhoat	chhoat
蕝	蕝	chhoat	chhoat
初	初	chhoe	chhoe
妻	妻	chhoe	chhoe
刷	刷	chhòe	chhoe3
慼	慼	chhoeh	chhoeh
齪	龊	chhok	chhok
傶	傶	chhok	chhok
撮	撮	chhok	chhok
厝	厝	chhok	chhok
觸	触	chhok	chhok
昔	昔	chhok	chhok
簇	簇	chhok	chhok
蔟	蔟	chhok	chhok
剒	剒	chhok	chhok
錯	错	chhok	chhok
戳	戳	chho̍k	chhok8
鑿	凿	chho̍k	chhok8
戧	戗	chhong	chhong
璁	璁	chhong	chhong
匆	匆	chhong	chhong
蒼	苍	chhong	chhong
鏦	鏦	chhong	chhong
瑲	玱	chhong	chhong
瘡	疮	chhong	chhong
聰	聪	chhong	chhong
艙	舱	chhong	chhong
刱	刱	chhong	chhong
滄	沧	chhong	chhong
棇	棇	chhong	chhong
倉	仓	chhong	chhong
傖	伧	chhong	chhong
鶬	鸧	chhong	chhong
窗	窗	chhong	chhong
創	创	chhong	chhong
摐	摐	chhong	chhong
蔥	葱	chhong	chhong
驄	骢	chhong	chhong
謒	謒	chhong	chhong
創	创	chhòng	chhong3
刱	刱	chhòng	chhong3
愴	怆	chhòng	chhong3
叢	丛	chhông	chhong5
戕	戕	chhông	chhong5
床	床	chhông	chhong5
欉	欉	chhông	chhong5
藂	藂	chhông	chhong5
觕	觕	chho·	chhou
粗	粗	chho·	chhou
蹉	蹉	chho·	chhou
怚	怚	chho·	chhou
初	初	chho·	chhou
麤	麤	chho·	chhou
趣	趣	chhó·	chhou2
楚	楚	chhó·	chhou2
儊	儊	chhó·	chhou2
礎	础	chhó·	chhou2
濋	濋	chhó·	chhou2
酢	酢	chhò·	chhou3
醋	醋	chhò·	chhou3
措	措	chhò·	chhou3
錯	错	chhò·	chhou3
厝	厝	chhò·	chhou3
蛆	蛆	chhu	chhu
苴	苴	chhu	chhu
雎	雎	chhu	chhu
樞	枢	chhu	chhu
趄	趄	chhu	chhu
趨	趋	chhu	chhu
鶵	鶵	chhu	chhu
眥	眦	chhu	chhu
雌	雌	chhu	chhu
媰	媰	chhu	chhu
嵯	嵯	chhu	chhu
雛	雏	chhu	chhu
睢	睢	chhu	chhu
杵	杵	chhú	chhu2
茈	茈	chhú	chhu2
此	此	chhú	chhu2
惴	惴	chhú	chhu2
取	取	chhú	chhu2
訾	訾	chhú	chhu2
鼠	鼠	chhú	chhu2
玼	玼	chhú	chhu2
處	处	chhú	chhu2
眥	眦	chhú	chhu2
鮆	鮆	chhú	chhu2
訿	訿	chhú	chhu2
佌	佌	chhú	chhu2
跐	跐	chhú	chhu2
癙	癙	chhú	chhu2
泚	泚	chhù	chhu3
儊	儊	chhù	chhu3
趣	趣	chhù	chhu3
庛	庛	chhù	chhu3
朿	朿	chhù	chhu3
狙	狙	chhù	chhu3
處	处	chhù	chhu3
厝	厝	chhù	chhu3
娶	娶	chhù	chhu3
覷	觑	chhù	chhu3
次	次	chhù	chhu3
取	取	chhù	chhu3
佽	佽	chhù	chhu3
蛓	蛓	chhù	chhu3
庛	庛	chhû	chhu5
訿	訿	chhû	chhu5
茈	茈	chhû	chhu5
疵	疵	chhû	chhu5
訾	訾	chhû	chhu5
眥	眦	chhû	chhu5
娶	娶	chhū	chhu7
焠	焠	chhuh	chhuh
吹	吹	chhui	chhui
炊	炊	chhui	chhui
催	催	chhui	chhui
蓷	蓷	chhui	chhui
崔	崔	chhui	chhui
推	推	chhui	chhui
揣	揣	chhúi	chhui2
瀡	瀡	chhúi	chhui2
髓	髓	chhúi	chhui2
取	取	chhúi	chhui2
脆	脆	chhùi	chhui3
翠	翠	chhùi	chhui3
膬	膬	chhùi	chhui3
崒	崒	chhùi	chhui3
口	口	chhùi	chhui3
焠	焠	chhùi	chhui3
脺	脺	chhùi	chhui3
嘴	嘴	chhùi	chhui3
啐	啐	chhùi	chhui3
竁	竁	chhùi	chhui3
吹	吹	chhùi	chhui3
毳	毳	chhùi	chhui3
碎	碎	chhùi	chhui3
翡	翡	chhùi	chhui3
春	春	chhun	chhun
蠢	蠢	chhun	chhun
杶	杶	chhun	chhun
鶉	鹑	chhun	chhun
伸	伸	chhun	chhun
鰆	鰆	chhun	chhun
村	村	chhun	chhun
椿	椿	chhun	chhun
刌	刌	chhún	chhun2
踳	踳	chhún	chhun2
荈	荈	chhún	chhun2
偆	偆	chhún	chhun2
忖	忖	chhún	chhun2
寸	寸	chhún	chhun2
喘	喘	chhún	chhun2
春	春	chhún	chhun2
賰	賰	chhún	chhun2
舛	舛	chhún	chhun2
寸	寸	chhùn	chhun3
存	存	chhûn	chhun5
齣	出	chhut	chhut
出	出	chhut	chhut
枝	枝	chi	chi
胑	胑	chi	chi
榰	榰	chi	chi
梔	栀	chi	chi
疻	疻	chi	chi
吱	吱	chi	chi
質	质	chi	chi
支	支	chi	chi
脂	脂	chi	chi
祗	祗	chi	chi
胝	胝	chi	chi
肢	肢	chi	chi
搘	搘	chi	chi
肌	肌	chi	chi
之	之	chi	chi
秖	秖	chi	chi
芝	芝	chi	chi
指	指	chí	chi2
坻	坻	chí	chi2
趾	趾	chí	chi2
畤	畤	chí	chi2
旨	旨	chí	chi2
秭	秭	chí	chi2
祉	祉	chí	chi2
止	止	chí	chi2
抵	抵	chí	chi2
薾	薾	chí	chi2
芷	芷	chí	chi2
水	水	chí	chi2
只	只	chí	chi2
子	子	chí	chi2
沚	沚	chí	chi2
咫	咫	chí	chi2
軹	轵	chí	chi2
姊	姊	chí	chi2
姐	姐	chí	chi2
笫	笫	chí	chi2
紙	纸	chí	chi2
忯	忯	chí	chi2
疻	疻	chí	chi2
阯	阯	chí	chi2
紫	紫	chí	chi2
呰	呰	chí	chi2
黹	黹	chí	chi2
枳	枳	chí	chi2
砥	砥	chí	chi2
址	址	chí	chi2
厎	厎	chí	chi2
鷙	鸷	chì	chi3
摯	挚	chì	chi3
鋕	鋕	chì	chi3
贄	贽	chì	chi3
忮	忮	chì	chi3
織	织	chì	chi3
至	至	chì	chi3
懫	懫	chì	chi3
騺	騺	chì	chi3
幟	帜	chì	chi3
識	识	chì	chi3
志	志	chì	chi3
躓	踬	chì	chi3
覟	覟	chì	chi3
痣	痣	chì	chi3
誌	志	chì	chi3
輊	轾	chì	chi3
薺	荠	chî	chi5
餈	餈	chî	chi5
鶿	鹚	chî	chi5
舐	舐	chī	chi7
巳	巳	chī	chi7
是	是	chī	chi7
這	这	chia	chia
嵯	嵯	chia	chia
遮	遮	chia	chia
嗟	嗟	chia	chia
菹	菹	chia	chia
罝	罝	chia	chia
姐	姐	chiá	chia2
媎	媎	chiá	chia2
者	者	chiá	chia2
赭	赭	chiá	chia2
炙	炙	chià	chia3
藉	借	chià	chia3
褯	褯	chià	chia3
鷓	鹧	chià	chia3
摭	摭	chià	chia3
耤	耤	chià	chia3
蔗	蔗	chià	chia3
柘	柘	chià	chia3
乍	乍	chià	chia3
唶	唶	chià	chia3
借	借	chià	chia3
謝	谢	chiā	chia7
藉	借	chiā	chia7
蛅	蛅	chiam	chiam
針	针	chiam	chiam
鍼	鍼	chiam	chiam
漸	渐	chiam	chiam
颭	飐	chiam	chiam
佔	佔	chiam	chiam
鑯	鑯	chiam	chiam
熸	熸	chiam	chiam
